priority	cluster_id	category	source_text	current_translation	recommended_translation	status	source_location	object_context	neighbouring_strings	where_to_fix	risk	notes
2	level2:no_path	ui	Foods			needs-context	level2:raw_ascii@249752	type=raw_bytes	mixamorig:LeftHandIndex3 | mixamorig:LeftUpLeg | mixamorig:RightLeg || mixamorig:Spine | mixamorig:LeftHandIndex3 | PickupCursor	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2::raw_ascii@248696:; level2::raw_ascii@272680:; level3::raw_ascii@176264:; level4::raw_ascii@379096:; v1.1.3 locations=level2::raw_ascii@249752:; level2::raw_ascii@273736:; level3::raw_ascii@177448:; level4::raw_ascii@412312:. Use source text plus neighbouring object context, not path_id/list index.
2	level2:no_path	unknown	ItemName			needs-context	level2:raw_ascii@202032	type=raw_bytes	mixamorig:RightHandThumb2 | mixamorig:RightForeArm | PickUpE || mixamorig:LeftHandIndex4 | mixamorig:RightHandIndex1 | mixamorig:LeftLeg	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2::raw_ascii@200976:; level2::raw_ascii@254224:; v1.1.3 locations=level2::raw_ascii@202032:; level2::raw_ascii@255280:. Use source text plus neighbouring object context, not path_id/list index.
2	level2:no_path	unknown	ScubaSets			needs-context	level2:raw_ascii@238568	type=raw_bytes	mixamorig:Spine | mixamorig:LeftLeg | mixamorig:LeftFoot || mixamorig:RightHandIndex1 | mixamorig:LeftHandIndex4 | mixamorig:LeftHandIndex4	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2::raw_ascii@237512:; v1.1.3 locations=level2::raw_ascii@238568:. Use source text plus neighbouring object context, not path_id/list index.
2	level3:312	item	fish			suspicious-mapping	level3:path_id=312:m_Name	type=GameObject; name=fish; dump=level3/GameObject/312__fish.json		add/update source-text entry in translations/source_queue.tsv	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:312:m_Name:fish; level3:4429:raw_length_prefixed@867936:LootBoxChest; level3::raw_ascii@867936:; sharedassets1.assets::raw_ascii@9498280:; sharedassets3.assets:80:m_Name:fish; +1 more; v1.1.3 locations=level3:312:m_Name:fish; level3:4464:raw_length_prefixed@873296:LootBoxChest; level3::raw_ascii@873296:; sharedassets1.assets::raw_ascii@6973072:; sharedassets3.assets:88:m_Name:fish; +1 more. Use source text plus neighbouring object context, not path_id/list index.
2	level3:413	notification	map (broken)			needs-context	level3:path_id=413:m_Name	type=GameObject; name=map (broken); dump=level3/GameObject/413__map_broken.json		add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:413:m_Name:map (broken); level4:1136:m_Name:map (broken); v1.1.3 locations=level3:413:m_Name:map (broken); level4:1288:m_Name:map (broken). Use source text plus neighbouring object context, not path_id/list index.
2	level3:4331	result/search	Your search did not yield results.	Ничего не найдено.		needs-context	level3:path_id=4331:raw_length_prefixed@808620	type=MonoBehaviour; name=ItemText; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=ItemText; dump=level3/MonoBehaviour/4331__ItemText.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4299:raw_length_prefixed@804908:ItemText; v1.1.3 locations=level3:4331:raw_length_prefixed@808620:ItemText. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4335	notification	Items Broken	Сломано		needs-context	level3:path_id=4335:raw_length_prefixed@810780	type=MonoBehaviour; name=Title; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=Title; dump=level3/MonoBehaviour/4335__Title.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4303:raw_length_prefixed@807068:Title; level3::raw_ascii@807068:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4335:raw_length_prefixed@810780:Title; level3::raw_ascii@810780:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4336	unknown	Fix with tape!	Починить скотчем!		needs-context	level3:path_id=4336:raw_length_prefixed@811308	type=MonoBehaviour; name=click_to_fix; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=click_to_fix; dump=level3/MonoBehaviour/4336__click_to_fix.json		translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4304:raw_length_prefixed@807596:click_to_fix; level3::raw_ascii@807596:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4336:raw_length_prefixed@811308:click_to_fix; level3::raw_ascii@811308:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4337	result/search	You found a chest!	Вы нашли сундук!		needs-context	level3:path_id=4337:raw_length_prefixed@811836	type=MonoBehaviour; name=ItemText; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=ItemText; dump=level3/MonoBehaviour/4337__ItemText.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4305:raw_length_prefixed@808124:ItemText; level3::raw_ascii@808124:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4337:raw_length_prefixed@811836:ItemText; level3::raw_ascii@811836:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4343	item	Bait Consumed	Наживка израсходована		suspicious-mapping	level3:path_id=4343:raw_length_prefixed@815036	type=MonoBehaviour; name=bait_consumed; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=bait_consumed; dump=level3/MonoBehaviour/4343__bait_consumed.json		translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4311:raw_length_prefixed@811324:bait_consumed; level3::raw_ascii@811324:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4343:raw_length_prefixed@815036:bait_consumed; level3::raw_ascii@815036:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4346	item	You spent a short time underwater.	Вы недолго пробыли под водой.		suspicious-mapping	level3:path_id=4346:raw_length_prefixed@816620	type=MonoBehaviour; name=ItemText; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=ItemText; dump=level3/MonoBehaviour/4346__ItemText.json		translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4314:raw_length_prefixed@812908:ItemText; v1.1.3 locations=level3:4346:raw_length_prefixed@816620:ItemText. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4350	notification	Scuba set was damaged in the process.	Акваланг повреждён.		needs-context	level3:path_id=4350:raw_length_prefixed@818796	type=MonoBehaviour; name=ItemText; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=ItemText; dump=level3/MonoBehaviour/4350__ItemText.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4318:raw_length_prefixed@815084:ItemText; level3::raw_ascii@815084:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4350:raw_length_prefixed@818796:ItemText; level3::raw_ascii@818796:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4354	result/search	You found food.	Вы нашли еду.		needs-context	level3:path_id=4354:raw_length_prefixed@820940	type=MonoBehaviour; name=ItemText; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=ItemText; dump=level3/MonoBehaviour/4354__ItemText.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4322:raw_length_prefixed@817228:ItemText; level3::raw_ascii@817228:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4354:raw_length_prefixed@820940:ItemText; level3::raw_ascii@820940:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4361	unknown	Items Lost	Потеряно		needs-context	level3:path_id=4361:raw_length_prefixed@824700	type=MonoBehaviour; name=Title; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=Title; dump=level3/MonoBehaviour/4361__Title.json		translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4329:raw_length_prefixed@820988:Title; level3::raw_ascii@820988:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4361:raw_length_prefixed@824700:Title; level3::raw_ascii@824700:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4367	result/search	You hurt yourself while searching.	Вы поранились во время поиска.		needs-context	level3:path_id=4367:raw_length_prefixed@827884	type=MonoBehaviour; name=ItemText; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=ItemText; dump=level3/MonoBehaviour/4367__ItemText.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4335:raw_length_prefixed@824172:ItemText; v1.1.3 locations=level3:4367:raw_length_prefixed@827884:ItemText. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4375	ui	Prepare Bait	Подготовить наживку		needs-context	level3:path_id=4375:raw_length_prefixed@832172	type=MonoBehaviour; name=SpecialityText; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=SpecialityText; dump=level3/MonoBehaviour/4375__SpecialityText.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4343:raw_length_prefixed@828460:SpecialityText; level3::raw_ascii@828460:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4375:raw_length_prefixed@832172:SpecialityText; level3::raw_ascii@832172:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4382	notification	Not enough energy...	Недостаточно энергии...		needs-context	level3:path_id=4382:raw_length_prefixed@835884	type=MonoBehaviour; name=myselfcannot_txt; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=myselfcannot_txt; dump=level3/MonoBehaviour/4382__myselfcannot_txt.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4350:raw_length_prefixed@832172:myselfcannot_txt; level3::raw_ascii@832172:; translations/source_queue.tsv:::; translations/ru.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4382:raw_length_prefixed@835884:myselfcannot_txt; level3::raw_ascii@835884:; translations/source_queue.tsv:::; translations/ru.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4383	result/search	Items Found	Найдено:		needs-context	level3:path_id=4383:raw_length_prefixed@836428	type=MonoBehaviour; name=Title; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=Title; dump=level3/MonoBehaviour/4383__Title.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4351:raw_length_prefixed@832716:Title; level3::raw_ascii@832716:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4383:raw_length_prefixed@836428:Title; level3::raw_ascii@836428:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level3:4384	result/search	You found bait.	Вы нашли наживку.		needs-context	level3:path_id=4384:raw_length_prefixed@836956	type=MonoBehaviour; name=ItemText; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=ItemText; dump=level3/MonoBehaviour/4384__ItemText.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3:4352:raw_length_prefixed@833244:ItemText; level3::raw_ascii@833244:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level3:4384:raw_length_prefixed@836956:ItemText; level3::raw_ascii@836956:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
